"query","positive","negative"
"¿La aplicación Quickfood ofrece la posibilidad de actualizar el menú en tiempo real para los Encargados de Puestos de Comida?","Claro, los Encargados de Puestos de Comida pueden actualizar y personalizar su menú en tiempo real a través de Quickfood, ofreciendo una amplia variedad de opciones a los Consumidores.","Actualmente, Quickfood no brinda la opción de actualizar el menú en tiempo real para los Encargados de Puestos de Comida."
"Puedo actualizar el menu en tiempo real", "Claro los Encargados de Puestos de Comida pueden actualizar y personalizar su menú en tiempo real a través de Quickfood ofreciendo una amplia variedad de opciones a los Consumidores.","Actualmente Quickfood no brinda la opción de actualizar el menú en tiempo real para los Encargados de Puestos de Comida."
"¿Los Productores de Eventos pueden gestionar múltiples puestos de comida a través de Quickfood?","Sí, Quickfood permite a los Productores de Eventos coordinar y administrar varios puestos de comida para eventos masivos o privados.","Lamentablemente, la gestión de múltiples puestos de comida no está disponible para los Productores de Eventos en Quickfood en este momento."
"Puedo gestionar multiples puestos de comida si soy productor?","Sí, Quickfood permite a los Productores de Eventos coordinar y administrar varios puestos de comida para eventos masivos o privados.","Lamentablemente, la gestión de múltiples puestos de comida no está disponible para los Productores de Eventos en Quickfood en este momento."
"¿Los Repartidores en Quickfood pueden ver la ubicación exacta de los Consumidores para realizar entregas?","Sí, en Quickfood, los Repartidores tienen acceso a la ubicación precisa de los Consumidores para entregar pedidos directamente a sus asientos o ubicaciones designadas.","Los Repartidores no tienen acceso a la ubicación exacta de los Consumidores para realizar entregas en Quickfood en este momento."
"¿Pueden los Consumidores realizar pedidos desde cualquier asiento en el evento a través de Quickfood?","¡Por supuesto! Quickfood permite a los Consumidores realizar pedidos desde cualquier asiento dentro del evento para una entrega más eficiente y cómoda.","Lamentablemente, la función de realizar pedidos desde cualquier asiento no está habilitada en Quickfood en este momento."
"¿La aplicación Quickfood ofrece la posibilidad de coordinar pedidos para eventos tanto masivos como privados?","Sí, Quickfood permite coordinar pedidos tanto para eventos masivos como privados, brindando opciones versátiles a los usuarios.","Actualmente, Quickfood no admite la coordinación de pedidos para eventos masivos y privados."
"¿Los Productores de Eventos pueden visualizar el estado y congestión de los pedidos en Quickfood?","Sí, Quickfood proporciona a los Productores de Eventos información detallada sobre el estado de los pedidos y la congestión en tiempo real.","La visualización del estado y congestión de los pedidos no está disponible para los Productores de Eventos en Quickfood en este momento."
"¿Se pueden gestionar pagos y transacciones de pedidos a través de Quickfood para los Encargados de Puestos de Comida?","Sí, Quickfood facilita la gestión de pagos y transacciones para los Encargados de Puestos de Comida, ofreciendo una experiencia de usuario integrada y conveniente.","La gestión de pagos y transacciones para los Encargados de Puestos de Comida no está habilitada en Quickfood en este momento." 
"¿Pueden los Repartidores ver información detallada sobre los pedidos que deben entregar en Quickfood?","Sí, en Quickfood, los Repartidores tienen acceso a información detallada sobre los pedidos pendientes y las ubicaciones de entrega.","Actualmente, los Repartidores no pueden acceder a información detallada sobre los pedidos que deben entregar en Quickfood." 
"¿Pueden los Consumidores realizar seguimiento en tiempo real de sus pedidos en Quickfood?","Sí, en Quickfood, los Consumidores pueden realizar un seguimiento en tiempo real de sus pedidos desde la realización hasta la entrega.","No es posible realizar un seguimiento en tiempo real de los pedidos para los Consumidores en Quickfood en este momento." 
"peeden los Consumidores realisar segimiento en tiempo real sus pedidos en Qf?","Sí, en Quickfood, los Consumidores pueden realizar un seguimiento en tiempo real de sus pedidos desde la realización hasta la entrega.","No es posible realizar un seguimiento en tiempo real de los pedidos para los Consumidores en Quickfood en este momento." 
"¿Ofrece Quickfood la posibilidad de personalizar menús para eventos específicos?","¡Claro! Quickfood permite a los usuarios personalizar menús para eventos específicos, adaptándose a sus necesidades.","La personalización de menús para eventos específicos no está disponible en Quickfood en este momento." 
"Tiene quickfod la posibilidad de personalizar menús para eventos específicos?","¡Claro! Quickfood permite a los usuarios personalizar menús para eventos específicos, adaptándose a sus necesidades.","La personalización de menús para eventos específicos no está disponible en Quickfood en este momento." 
"¿Pueden los Productores de Eventos comunicarse directamente con los Encargados de Puestos de Comida a través de Quickfood?","Sí, Quickfood facilita la comunicación directa entre Productores de Eventos y Encargados de Puestos de Comida para coordinar de manera eficiente.","La comunicación directa entre Productores de Eventos y Encargados de Puestos de Comida no está habilitada en Quickfood en este momento." 
"¿Los Encargados de Puestos de Comida reciben notificaciones en tiempo real sobre los pedidos en Quickfood?","Sí, los Encargados de Puestos de Comida reciben notificaciones instantáneas sobre los pedidos en Quickfood para una gestión eficiente.","No se envían notificaciones en tiempo real sobre los pedidos a los Encargados de Puestos de Comida en Quickfood en este momento." 
"¿Un Consumidor puede convertirse en Repartidor dentro de Quickfood?","Sí, para ser Repartidor en Quickfood, primero debes registrarte como Consumidor y cumplir con los requisitos adicionales para la solicitud de ser Repartidor.","En Quickfood, no se permite a un Consumidor convertirse en Repartidor directamente sin cumplir con los requisitos previos." 
"¿Cuáles son los requisitos para que un Consumidor se convierta en Repartidor en Quickfood?","Para ser Repartidor en Quickfood, un Consumidor debe ser mayor de 18 años, buscar eventos disponibles y solicitar presentarse como Repartidor.","No hay requisitos claros para que un Consumidor se convierta en Repartidor en Quickfood." 
"¿Cómo puede un Consumidor registrarse como Repartidor en Quickfood?","Un Consumidor interesado en ser Repartidor en Quickfood debe cumplir con los requisitos mínimos y realizar una solicitud dentro de la aplicación para presentarse como Repartidor.","No hay opción para que un Consumidor se registre como Repartidor en Quickfood." 
"¿Puede un Consumidor activar su ubicación para que los Repartidores lo encuentren fácilmente en Quickfood?","Sí, en Quickfood, los Consumidores pueden activar su ubicación para que los Repartidores los encuentren fácilmente y realicen entregas precisas.","La función para activar la ubicación no está disponible para los Consumidores en Quickfood." 
"¿Un Repartidor debe haber sido Consumidor previamente para unirse a Quickfood?","Sí, en Quickfood, un Repartidor debe haber sido previamente Consumidor y cumplir con los requisitos adicionales para convertirse en Repartidor.","No hay relación entre haber sido Consumidor y ser Repartidor en Quickfood." 
"¿Cuáles son los pasos para un Repartidor solicitar presentarse en un evento en Quickfood?","Para participar como Repartidor en un evento en Quickfood, el Repartidor debe buscar eventos disponibles y realizar una solicitud dentro de la aplicación para presentarse en el evento.","No hay un proceso definido para que un Repartidor solicite presentarse en eventos en Quickfood." 
"¿Cuáles son los métodos de pago aceptados en Quickfood para los Consumidores?","En Quickfood, los métodos de pago aceptados para los Consumidores incluyen Mercado Pago para transacciones seguras y convenientes.","No hay métodos de pago definidos para los Consumidores en Quickfood." 
"¿Cómo pueden los Repartidores confirmar la ubicación de los Consumidores para realizar entregas en Quickfood?","En Quickfood, los Repartidores tienen acceso a la ubicación precisa de los Consumidores para entregar pedidos de manera eficiente.","Los Repartidores no pueden acceder a la ubicación exacta de los Consumidores para realizar entregas en Quickfood." 
"¿Puede un Consumidor solicitar presentarse en un evento para realizar pedidos a través de Quickfood?","Sí, en Quickfood, un Consumidor puede buscar eventos disponibles y realizar solicitudes para presentarse en el evento y realizar pedidos desde su asiento.","No hay opción para que un Consumidor solicite presentarse en un evento en Quickfood."
"¿Es posible utilizar Quickfood tanto en dispositivos Android como en navegadores web?","Sí, Quickfood es compatible con dispositivos Android y también se puede acceder desde navegadores web para una mayor accesibilidad.","La funcionalidad en dispositivos Android o navegadores web no está disponible actualmente en Quickfood." 
"¿Se requiere la validación del correo electrónico para comenzar a usar Quickfood?","Sí, para empezar a utilizar Quickfood, es necesario validar tu correo electrónico como parte del proceso de registro.","En Quickfood, no se requiere la validación del correo electrónico para comenzar a usar la aplicación." 
"¿Qué información se solicita a los Productores o Encargados para registrarse en Quickfood?","Los Productores y Encargados deben proporcionar documentos como la información del local, constancia de AFIP, razón social, y otros datos legales para registrarse en Quickfood.","En Quickfood, no se solicita ningún tipo de documentación para el registro de Productores o Encargados." 
"¿Puede cualquier persona convertirse en Consumidor y realizar pedidos en Quickfood?","Para ser Consumidor en Quickfood, es necesario estar dentro del evento determinado por Quickfood previamente para poder realizar pedidos, asegurando una experiencia contextualizada.","Cualquier persona puede ser Consumidor y realizar pedidos sin necesidad de estar dentro del evento en Quickfood." 
"¿Se permite realizar precompras de pedidos en Quickfood?","Sí, Quickfood permite a los Consumidores realizar precompras para tener sus pedidos listos al llegar al evento.","La función de precompra para tener los pedidos listos al llegar al evento no está disponible en Quickfood." 
"¿Puedo usar Quickfood sin estar presente en el evento que la aplicación haya determinado?","No, en Quickfood, es necesario estar dentro del evento previamente determinado por la aplicación para utilizar sus servicios como Consumidor.","Es posible usar Quickfood sin la necesidad de estar presente en el evento predefinido por la aplicación." 
"¿Qué tipo de documentos se requieren para ser Repartidor en Quickfood?","Los Repartidores deben proporcionar ciertos documentos como constancia de domicilio, información personal y de contacto para unirse a Quickfood.","No se requiere ningún tipo de documentación para convertirse en Repartidor en Quickfood." 
"¿Se puede acceder a Quickfood sin necesidad de validar información legal para ser Productor o Encargado?","No, para ser Productor o Encargado en Quickfood, es necesario proporcionar información legal y documentos que validen su identidad y negocio.","En Quickfood, no se requiere validar información legal para ser Productor o Encargado." 
"¿Quickfood permite a los Consumidores realizar pedidos sin estar dentro del evento determinado?","No, en Quickfood, los Consumidores deben estar dentro del evento previamente definido por la aplicación para realizar pedidos.","Los Consumidores pueden realizar pedidos en Quickfood sin necesidad de estar presentes en el evento establecido." 
"¿Exige Quickfood la verificación del correo electrónico para todos los usuarios al registrarse?","Sí, Quickfood requiere la verificación del correo electrónico para todos los usuarios como parte del proceso de registro.","La verificación del correo electrónico no es un requisito para el registro de usuarios en Quickfood." 
"¿Qué sucede si un evento se suspende después de realizar una precompra en Quickfood?","En caso de suspensión de un evento, Quickfood ofrece reembolsos totales a los usuarios que hayan efectuado precompras para pedidos.","En situaciones de suspensión de eventos, Quickfood no ofrece reembolsos por precompras realizadas." 
"¿Puedo cancelar una precompra si el evento se cancela antes de su inicio en Quickfood?","Sí, Quickfood permite la cancelación de precompras en caso de cancelación de un evento antes de su inicio, ofreciendo reembolsos completos.","No se brinda la opción de cancelar una precompra si el evento se cancela antes de su inicio en Quickfood."
"¿Quickfood emite algún tipo de reembolso si un evento se cancela y ya has efectuado una precompra?","Sí, en caso de cancelación de un evento, Quickfood reembolsa íntegramente las precompras realizadas por los usuarios.","Quickfood no ofrece ningún tipo de reembolso si un evento se cancela y ya has realizado una precompra."
"¿Qué pasa si el evento se suspende mientras mi pedido está en proceso de entrega a través de Quickfood?","En el caso de la suspensión del evento, Quickfood cancela la entrega en curso y reembolsa a los usuarios por los pedidos que no hayan sido entregados.","Si un evento se suspende durante la entrega de un pedido, Quickfood no se responsabiliza por dichos pedidos."
"¿Se ofrece alguna alternativa si el evento se pospone después de realizar una precompra en Quickfood?","Sí, si un evento se pospone, Quickfood permite la modificación de las precompras para adaptarse a la nueva fecha del evento.","No hay ninguna alternativa ofrecida si un evento se pospone después de realizar una precompra en Quickfood."
"¿Puedo cambiar mi pedido si el evento se reprograma en Quickfood?","Sí, Quickfood permite la modificación de pedidos en caso de reprogramación del evento para ajustarse a la nueva fecha del evento.","No se permite realizar cambios en los pedidos si el evento se reprograma en Quickfood."
"¿Qué sucede si el evento se reprograma y ya tengo mi pedido listo para su entrega en Quickfood?","En caso de reprogramación del evento, Quickfood cancela la entrega previamente programada y reembolsa a los usuarios por los pedidos cancelados.","Si el evento se reprograma, Quickfood procede con la entrega de pedidos según lo programado sin posibilidad de cancelación."
"¿Puedo obtener un reembolso si el evento se cancela después de haber recogido mi pedido en Quickfood?","Sí, Quickfood reembolsa a los usuarios por los pedidos que hayan sido recogidos si el evento se cancela después de haber retirado el pedido.","No se otorgan reembolsos si el evento se cancela después de que un usuario haya retirado su pedido en Quickfood."
"¿Se reembolsa el costo total si el evento se suspende y no he retirado mi pedido en Quickfood?","Sí, Quickfood efectúa reembolsos completos por pedidos no retirados en caso de suspensión del evento.","Los pedidos no retirados no son reembolsados si el evento se suspende en Quickfood."
"¿Se ofrecen créditos por precompras en caso de suspensión de un evento en Quickfood?","Sí, Quickfood proporciona créditos equivalentes a precompras para ser utilizados en futuros eventos si uno se suspende.","No se ofrecen créditos o alternativas por precompras en caso de suspensión de un evento en Quickfood."
"¿Cuáles son las medidas de seguridad implementadas por Quickfood para proteger la información del usuario?","Quickfood emplea medidas de encriptación avanzadas y protocolos de seguridad para resguardar la información del usuario, garantizando la confidencialidad de los datos.","En Quickfood no se implementan medidas de seguridad para proteger la información del usuario."
"¿Se proporciona soporte técnico a los usuarios en caso de problemas con la aplicación Quickfood?","Sí, Quickfood cuenta con un equipo de soporte técnico disponible para resolver cualquier inconveniente o inquietud de los usuarios.","No se ofrece ningún tipo de soporte técnico a los usuarios en Quickfood."
"¿Qué tipos de eventos son cubiertos por Quickfood para realizar pedidos?","Quickfood abarca una amplia gama de eventos, desde festivales masivos hasta eventos corporativos, permitiendo a los usuarios realizar pedidos en diversas ocasiones.","La cobertura de eventos en Quickfood se limita exclusivamente a eventos específicos y no incluye una variedad amplia de opciones."
"¿Cuál es el proceso de registro para los distintos tipos de usuarios en Quickfood?","El proceso de registro varía según el tipo de usuario: los Consumidores deben estar dentro del evento determinado, mientras que los Productores y Encargados deben proporcionar documentación legal para validar su participación en la aplicación.","El proceso de registro en Quickfood es el mismo para todos los tipos de usuarios, sin ninguna distinción en los requisitos de registro."
"¿Existen restricciones geográficas para el uso de Quickfood?","Quickfood está disponible para usuarios en diferentes ubicaciones geográficas, sin restricciones específicas, permitiendo acceder a la aplicación desde múltiples regiones.","El uso de Quickfood está limitado a áreas geográficas específicas, restringiendo el acceso desde diversas ubicaciones."
